Volume (ml),pH,sampvol
0,10.536,47.35
0.065,10.521,
0.083,10.507,
0.105,10.492,
0.118,10.478,
0.131,10.463,
0.147,10.448,
0.161,10.431,
0.172,10.415,
0.181,10.401,
0.195,10.387,
0.205,10.373,
0.218,10.356,
0.227,10.34,
0.24,10.326,
0.249,10.312,
0.26,10.297,
0.269,10.282,
0.277,10.266,
0.286,10.251,
0.295,10.236,
0.303,10.219,
0.314,10.204,
0.321,10.188,
0.332,10.173,
0.34,10.159,
0.346,10.145,
0.354,10.132,
0.361,10.118,
0.369,10.105,
0.375,10.09,
0.382,10.075,
0.391,10.061,
0.396,10.046,
0.404,10.032,
0.41,10.017,
0.418,10.002,
0.424,9.988,
0.431,9.972,
0.438,9.958,
0.444,9.943,
0.45,9.927,
0.455,9.914,
0.463,9.899,
0.468,9.884,
0.474,9.87,
0.479,9.856,
0.485,9.839,
0.491,9.823,
0.497,9.806,
0.503,9.791,
0.506,9.777,
0.513,9.761,
0.518,9.746,
0.523,9.731,
0.527,9.716,
0.533,9.7,
0.537,9.686,
0.542,9.672,
0.546,9.657,
0.549,9.642,
0.553,9.626,
0.557,9.612,
0.563,9.596,
0.567,9.578,
0.572,9.562,
0.576,9.544,
0.58,9.528,
0.583,9.514,
0.588,9.495,
0.592,9.479,
0.595,9.461,
0.599,9.444,
0.604,9.426,
0.607,9.41,
0.611,9.394,
0.614,9.379,
0.617,9.365,
0.62,9.348,
0.623,9.331,
0.626,9.314,
0.629,9.299,
0.631,9.28,
0.634,9.265,
0.637,9.249,
0.639,9.235,
0.642,9.218,
0.644,9.204,
0.647,9.184,
0.65,9.165,
0.653,9.146,
0.655,9.131,
0.657,9.117,
0.659,9.102,
0.661,9.089,
0.663,9.074,
0.665,9.059,
0.667,9.041,
0.669,9.024,
0.671,9.009,
0.673,8.994,
0.675,8.978,
0.677,8.958,
0.679,8.939,
0.681,8.924,
0.683,8.901,
0.685,8.882,
0.687,8.864,
0.688,8.842,
0.691,8.821,
0.693,8.804,
0.694,8.78,
0.697,8.757,
0.699,8.736,
0.701,8.712,
0.703,8.689,
0.705,8.663,
0.707,8.637,
0.708,8.612,
0.711,8.585,
0.713,8.56,
0.714,8.533,
0.715,8.519,
0.716,8.504,
0.719,8.477,
0.72,8.462,
0.72,8.446,
0.721,8.431,
0.722,8.414,
0.723,8.4,
0.725,8.384,
0.726,8.37,
0.726,8.354,
0.727,8.339,
0.728,8.323,
0.73,8.296,
0.732,8.282,
0.732,8.267,
0.733,8.252,
0.734,8.238,
0.736,8.213,
0.739,8.189,
0.74,8.165,
0.742,8.143,
0.744,8.118,
0.746,8.093,
0.748,8.075,
0.75,8.057,
0.752,8.039,
0.754,8.023,
0.756,8.008,
0.758,7.991,
0.76,7.977,
0.762,7.958,
0.764,7.941,
0.766,7.927,
0.768,7.908,
0.771,7.889,
0.774,7.871,
0.777,7.854,
0.78,7.837,
0.782,7.816,
0.784,7.801,
0.786,7.783,
0.789,7.768,
0.792,7.752,
0.794,7.737,
0.797,7.722,
0.8,7.704,
0.803,7.69,
0.806,7.673,
0.809,7.659,
0.812,7.642,
0.816,7.624,
0.819,7.607,
0.823,7.589,
0.826,7.571,
0.829,7.554,
0.833,7.539,
0.836,7.525,
0.839,7.511,
0.842,7.497,
0.845,7.48,
0.847,7.452,
0.853,7.434,
0.857,7.417,
0.861,7.399,
0.865,7.385,
0.869,7.37,
0.873,7.354,
0.876,7.34,
0.879,7.326,
0.883,7.31,
0.887,7.295,
0.89,7.279,
0.893,7.258,
0.897,7.242,
0.901,7.228,
0.905,7.211,
0.908,7.198,
0.911,7.178,
0.912,7.164,
0.916,7.149,
0.92,7.13,
0.926,7.114,
0.93,7.099,
0.933,7.07,
0.938,7.055,
