Volume (ml),pH,sampvol
0.000,10.558,45.781
0.016,10.536,
0.039,10.521,
0.048,10.507,
0.059,10.490,
0.070,10.477,
0.079,10.462,
0.090,10.447,
0.100,10.426,
0.113,10.412,
0.118,10.383,
0.119,10.398,
0.132,10.380,
0.144,10.363,
0.155,10.347,
0.162,10.333,
0.168,10.319,
0.178,10.302,
0.188,10.287,
0.197,10.273,
0.206,10.259,
0.215,10.243,
0.224,10.223,
0.229,10.207,
0.242,10.192,
0.249,10.178,
0.260,10.163,
0.266,10.147,
0.274,10.132,
0.279,10.115,
0.291,10.100,
0.301,10.086,
0.306,10.069,
0.315,10.055,
0.321,10.041,
0.328,10.026,
0.335,10.008,
0.344,9.993,
0.350,9.979,
0.357,9.965,
0.365,9.947,
0.371,9.932,
0.377,9.918,
0.380,9.901,
0.392,9.884,
0.395,9.867,
0.401,9.849,
0.411,9.830,
0.419,9.814,
0.426,9.798,
0.427,9.781,
0.437,9.766,
0.445,9.752,
0.447,9.735,
0.453,9.720,
0.460,9.699,
0.466,9.680,
0.473,9.666,
0.478,9.652,
0.482,9.635,
0.485,9.616,
0.492,9.600,
0.496,9.586,
0.499,9.571,
0.505,9.555,
0.510,9.540,
0.516,9.524,
0.520,9.502,
0.525,9.484,
0.528,9.467,
0.533,9.453,
0.537,9.429,
0.542,9.414,
0.547,9.397,
0.550,9.373,
0.555,9.358,
0.559,9.335,
0.560,9.313,
0.565,9.296,
0.571,9.280,
0.574,9.261,
0.578,9.245,
0.581,9.217,
0.584,9.195,
0.586,9.181,
0.590,9.163,
0.593,9.148,
0.596,9.132,
0.598,9.118,
0.601,9.100,
0.604,9.078,
0.606,9.054,
0.610,9.038,
0.613,9.021,
0.614,9.006,
0.617,8.983,
0.619,8.950,
0.622,8.934,
0.625,8.918,
0.627,8.902,
0.628,8.883,
0.631,8.863,
0.633,8.849,
0.636,8.826,
0.637,8.802,
0.638,8.788,
0.640,8.766,
0.643,8.743,
0.645,8.706,
0.646,8.692,
0.649,8.672,
0.650,8.649,
0.653,8.625,
0.655,8.562,
0.656,8.541,
0.659,8.526,
0.661,8.505,
0.663,8.485,
0.664,8.463,
0.667,8.427,
0.668,8.381,
0.669,8.358,
0.670,8.344,
0.671,8.323,
0.673,8.309,
0.674,8.288,
0.675,8.265,
0.676,8.247,
0.677,8.233,
0.680,8.205,
