Volume (ml),pH,sampvol
0.000,10.861,53.885
0.074,10.846,
0.094,10.830,
0.119,10.814,
0.141,10.797,
0.156,10.780,
0.179,10.763,
0.204,10.745,
0.224,10.729,
0.241,10.711,
0.259,10.695,
0.281,10.678,
0.303,10.662,
0.321,10.645,
0.341,10.628,
0.356,10.612,
0.373,10.594,
0.393,10.579,
0.411,10.562,
0.428,10.546,
0.443,10.531,
0.463,10.515,
0.480,10.498,
0.495,10.483,
0.515,10.463,
0.533,10.446,
0.548,10.430,
0.568,10.410,
0.583,10.394,
0.600,10.378,
0.615,10.363,
0.633,10.346,
0.645,10.331,
0.658,10.314,
0.673,10.298,
0.688,10.282,
0.708,10.265,
0.722,10.249,
0.735,10.233,
0.752,10.215,
0.765,10.199,
0.780,10.183,
0.792,10.166,
0.805,10.151,
0.820,10.133,
0.832,10.116,
0.847,10.097,
0.862,10.078,
0.877,10.059,
0.890,10.042,
0.902,10.026,
0.912,10.009,
0.925,9.991,
0.934,9.974,
0.949,9.957,
0.962,9.940,
0.972,9.924,
0.982,9.907,
0.992,9.889,
1.000,9.785,
1.050,9.768,
1.062,9.751,
1.072,9.735,
1.082,9.715,
1.092,9.698,
1.102,9.678,
1.112,9.660,
1.122,9.640,
1.130,9.622,
1.137,9.604,
1.144,9.587,
1.152,9.570,
1.159,9.552,
1.167,9.535,
1.175,9.514,
1.182,9.495,
1.187,9.479,
1.194,9.459,
1.202,9.439,
1.207,9.424,
1.214,9.403,
1.219,9.386,
1.224,9.370,
1.229,9.353,
1.237,9.329,
1.244,9.304,
1.249,9.287,
1.254,9.270,
1.259,9.255,
1.264,9.235,
1.269,9.215,
1.274,9.197,
1.279,9.178,
1.284,9.158,
1.289,9.136,
1.294,9.114,
1.299,9.090,
1.304,9.067,
1.309,9.043,
1.314,9.021,
1.319,8.996,
1.324,8.971,
1.329,8.944,
1.334,8.914,
1.337,8.898,
1.342,8.871,
1.347,8.844,
1.349,8.829,
1.354,8.800,
1.359,8.771,
1.362,8.755,
1.364,8.740,
1.367,8.724,
1.369,8.708,
1.371,8.691,
1.374,8.674,
1.377,8.657,
1.379,8.641,
1.382,8.623,
1.384,8.606,
1.386,8.587,
1.389,8.571,
1.391,8.556,
1.394,8.538,
1.399,8.508,
1.404,8.481,
1.409,8.454,
1.414,8.427,
1.419,8.398,
1.424,8.373,
1.429,8.350,
1.434,8.324,
1.439,8.299,
1.444,8.274,
1.449,8.251,
1.454,8.229,
1.459,8.210,
1.464,8.188,
1.469,8.166,
1.474,8.146,
1.479,8.126,
1.484,8.107,
1.489,8.089,
1.494,8.067,
1.499,8.049,
1.504,8.032,
1.509,8.013,
1.514,7.996,
1.519,7.976,
1.524,7.958,
1.529,7.939,
1.536,7.915,
1.541,7.896,
1.546,7.875,
1.551,7.855,
1.559,7.833,
1.566,7.809,
1.571,7.794,
1.576,7.777,
1.581,7.762,
1.586,7.744,
1.593,7.720,
1.601,7.699,
1.606,7.682,
1.611,7.666,
1.616,7.650,
1.623,7.629,
1.628,7.613,
1.636,7.592,
1.641,7.575,
1.646,7.560,
1.653,7.537,
1.661,7.519,
1.666,7.503,
1.673,7.481,
1.681,7.460,
1.688,7.438,
1.696,7.417,
1.703,7.397,
1.708,7.381,
1.716,7.360,
1.723,7.338,
1.731,7.315,
1.738,7.295,
1.746,7.274,
1.753,7.255,
1.760,7.235,
1.768,7.216,
1.773,7.200,
1.780,7.179,
1.787,7.159,
1.794,7.138,
1.799,7.123,
1.806,7.104,
1.811,7.088,
1.818,7.069,
1.823,7.053,
1.830,7.035,
1.837,7.015,
1.844,6.999,
1.851,6.978,
1.858,6.960,
1.864,6.942,
1.873,6.921,
1.880,6.904,
1.887,6.886,
1.894,6.870,
1.900,6.853,
1.907,6.836,
1.914,6.815,
1.922,6.799,
1.929,6.783,
1.935,6.767,
1.944,6.746,
1.950,6.730,
1.957,6.712,
1.963,6.697,
1.972,6.682,
1.980,6.662,
1.986,6.645,
1.995,6.626,
2.000,6.454,
2.037,6.438,
2.059,6.423,
2.076,6.406,
2.092,6.391,
2.103,6.371,
2.115,6.352,
2.128,6.336,
2.141,6.321,
2.154,6.302,
2.166,6.286,
2.177,6.270,
2.188,6.253,
2.199,6.234,
2.206,6.218,
2.217,6.199,
2.230,6.184,
2.239,6.164,
2.251,6.148,
2.262,6.130,
2.272,6.113,
2.283,6.098,
2.293,6.079,
2.302,6.061,
2.309,6.045,
2.319,6.026,
2.326,5.993,
2.339,5.977,
2.354,5.961,
2.362,5.946,
2.371,5.929,
2.379,5.911,
2.389,5.893,
2.397,5.876,
2.405,5.858,
2.413,5.842,
2.419,5.826,
2.427,5.808,
2.435,5.789,
2.442,5.771,
2.449,5.755,
2.456,5.737,
2.462,5.720,
2.468,5.702,
2.474,5.685,
2.480,5.668,
2.488,5.647,
2.492,5.631,
2.496,5.615,
2.503,5.595,
2.509,5.576,
2.515,5.556,
