Volume (ml),pH,sampvol
0.0,10.278,9.979
0.02,10.427,
0.04,10.346,
0.06,10.279,
0.08,10.213,
0.1,10.141,
0.12,10.065,
0.14,9.978,
0.16,9.883,
0.18,9.771,
0.2,9.633,
0.22,9.467,
0.24,9.266,
0.26,8.995,
0.28,8.617,
0.3,8.293,
0.32,8.044,
0.34,7.814,
0.36,7.580,
0.38,7.314,
0.4,7.066,
0.42,6.767,
0.44,6.518,
0.46,6.327,
0.48,6.181,
0.5,5.975,
0.52,5.829,
0.54,5.567,
0.56,5.325,
0.58,4.939,
0.6,4.490,
0.62,4.203,
0.64,4.025,
0.66,3.891,
0.68,3.797,
0.7000000000000001,3.722,
0.72,3.653,
0.74,3.590,
0.76,3.542,
0.78,3.492,
0.8,3.449,
