Volume (ml),pH,sampvol
0.000,10.153,53.9
0.053,10.139,
0.076,10.126,
0.094,10.113,
0.116,10.100,
0.134,10.088,
0.151,10.074,
0.167,10.062,
0.183,10.048,
0.197,10.036,
0.213,10.022,
0.228,10.008,
0.242,9.994,
0.258,9.980,
0.272,9.968,
0.285,9.953,
0.303,9.938,
0.315,9.925,
0.328,9.911,
0.342,9.896,
0.355,9.884,
0.366,9.870,
0.379,9.855,
0.393,9.840,
0.405,9.827,
0.417,9.814,
0.427,9.801,
0.438,9.788,
0.449,9.774,
0.460,9.761,
0.470,9.747,
0.481,9.734,
0.491,9.721,
0.500,9.708,
0.509,9.696,
0.518,9.683,
0.529,9.668,
0.538,9.656,
0.547,9.643,
0.554,9.630,
0.564,9.617,
0.574,9.604,
0.582,9.590,
0.591,9.575,
0.600,9.561,
0.608,9.549,
0.617,9.533,
0.624,9.520,
0.633,9.506,
0.641,9.491,
0.648,9.479,
0.656,9.464,
0.663,9.451,
0.669,9.438,
0.677,9.424,
0.683,9.412,
0.689,9.399,
0.696,9.384,
0.702,9.371,
0.710,9.357,
0.715,9.344,
0.721,9.330,
0.727,9.315,
0.735,9.298,
0.741,9.284,
0.747,9.271,
0.753,9.255,
0.757,9.243,
0.763,9.226,
0.769,9.211,
0.775,9.195,
0.781,9.180,
0.786,9.166,
0.792,9.149,
0.796,9.136,
0.801,9.120,
0.805,9.108,
0.810,9.092,
0.814,9.078,
0.819,9.063,
0.823,9.048,
0.828,9.033,
0.832,9.017,
0.837,9.000,
0.841,8.983,
0.846,8.965,
0.850,8.949,
0.855,8.929,
0.859,8.912,
0.862,8.898,
0.865,8.886,
0.868,8.870,
0.871,8.856,
0.874,8.843,
0.877,8.830,
0.880,8.815,
0.883,8.801,
0.886,8.785,
0.889,8.770,
0.892,8.753,
0.895,8.735,
0.898,8.719,
0.901,8.705,
0.904,8.685,
0.907,8.669,
0.910,8.652,
0.913,8.633,
0.916,8.615,
0.919,8.595,
0.922,8.575,
0.925,8.556,
0.926,8.543,
0.929,8.522,
0.932,8.501,
0.935,8.477,
0.938,8.456,
0.941,8.431,
0.944,8.407,
0.947,8.384,
0.949,8.371,
0.950,8.358,
0.953,8.332,
0.956,8.307,
0.958,8.292,
0.959,8.279,
0.962,8.254,
0.964,8.239,
0.965,8.224,
0.968,8.196,
0.970,8.183,
0.971,8.169,
0.973,8.155,
0.974,8.140,
0.976,8.127,
0.977,8.113,
0.979,8.100,
0.980,8.088,
0.982,8.074,
0.983,8.061,
0.985,8.047,
0.988,8.023,
0.991,7.998,
0.994,7.975,
0.997,7.953,
1.000,7.932,
1.000,7.656,
1.010,7.641,
1.018,7.626,
1.024,7.614,
1.030,7.601,
1.036,7.587,
1.042,7.574,
1.048,7.560,
1.054,7.546,
1.060,7.531,
1.066,7.516,
1.072,7.503,
1.078,7.488,
1.084,7.474,
1.090,7.459,
1.096,7.444,
1.102,7.429,
1.109,7.412,
1.115,7.400,
