Volume (ml),pH,sampvol
0.000,10.611,55.63
0.016,10.592,
0.025,10.577,
0.031,10.560,
0.044,10.544,
0.052,10.527,
0.062,10.513,
0.073,10.495,
0.083,10.479,
0.091,10.465,
0.095,10.452,
0.104,10.436,
0.115,10.420,
0.124,10.406,
0.132,10.390,
0.141,10.372,
0.147,10.357,
0.158,10.335,
0.165,10.320,
0.176,10.305,
0.185,10.289,
0.194,10.272,
0.200,10.259,
0.206,10.243,
0.213,10.226,
0.221,10.208,
0.230,10.191,
0.233,10.177,
0.243,10.163,
0.252,10.145,
0.258,10.127,
0.268,10.110,
0.274,10.097,
0.280,10.082,
0.286,10.069,
0.292,10.054,
0.295,10.041,
0.303,10.025,
0.310,10.011,
0.315,9.996,
0.319,9.982,
0.325,9.968,
0.331,9.954,
0.337,9.937,
0.342,9.924,
0.348,9.907,
0.354,9.887,
0.361,9.870,
0.363,9.856,
0.369,9.842,
0.376,9.826,
0.381,9.810,
0.385,9.794,
0.391,9.776,
0.396,9.760,
0.400,9.746,
0.403,9.731,
0.408,9.715,
0.414,9.699,
0.418,9.682,
0.423,9.669,
0.427,9.648,
0.431,9.631,
0.436,9.608,
0.442,9.592,
0.446,9.576,
0.449,9.559,
0.452,9.545,
0.457,9.513,
0.461,9.497,
0.464,9.483,
0.467,9.468,
0.470,9.451,
0.473,9.436,
0.478,9.419,
0.481,9.402,
0.485,9.383,
0.488,9.370,
0.491,9.352,
0.494,9.335,
0.497,9.321,
0.500,9.301,
0.503,9.282,
0.506,9.267,
0.509,9.247,
0.512,9.230,
0.515,9.208,
0.517,9.194,
0.520,9.178,
0.523,9.160,
0.526,9.140,
0.527,9.126,
0.529,9.112,
0.532,9.089,
0.535,9.066,
0.536,9.052,
0.539,9.031,
0.541,9.016,
0.544,8.992,
0.547,8.968,
0.548,8.955,
0.551,8.928,
0.554,8.902,
0.557,8.873,
0.559,8.860,
0.560,8.842,
0.562,8.828,
0.563,8.809,
0.564,8.792,
0.566,8.778,
0.568,8.760,
0.569,8.745,
0.570,8.728,
0.572,8.711,
0.573,8.690,
0.575,8.671,
0.576,8.656,
0.578,8.638,
0.579,8.616,
0.581,8.598,
0.582,8.581,
0.584,8.566,
0.585,8.547,
0.587,8.528,
0.588,8.506,
0.590,8.488,
0.591,8.468,
0.593,8.442,
0.594,8.424,
0.596,8.409,
0.597,8.390,
0.599,8.376,
0.600,8.362,
0.602,8.347,
0.603,8.333,
0.605,8.317,
0.608,8.291,
0.611,8.267,
0.612,8.251,
0.615,8.219,
0.617,8.205,
0.620,8.180,
0.623,8.157,
0.624,8.142,
0.626,8.124,
0.627,8.109,
0.629,8.096,
0.630,8.079,
0.633,8.061,
0.636,8.043,
0.639,8.026,
0.642,8.007,
0.645,7.990,
0.648,7.968,
0.651,7.945,
0.654,7.930,
0.657,7.912,
0.660,7.896,
0.663,7.879,
0.666,7.860,
0.669,7.839,
0.672,7.821,
0.675,7.802,
0.678,7.786,
0.681,7.768,
0.683,7.745,
0.686,7.724,
0.689,7.704,
0.692,7.690,
0.694,7.675,
0.698,7.655,
0.701,7.640,
0.702,7.620,
0.707,7.596,
0.709,7.579,
0.713,7.566,
0.715,7.537,
0.720,7.519,
0.723,7.505,
0.727,7.489,
0.729,7.475,
0.730,7.457,
0.733,7.437,
0.736,7.418,
0.741,7.403,
0.744,7.358,
0.747,7.341,
0.751,7.326,
0.753,7.311,
0.756,7.295,
0.759,7.280,
0.763,7.264,
0.768,7.244,
0.771,7.220,
0.774,7.206,
0.777,7.184,
0.781,7.165,
0.786,7.148,
0.789,7.132,
0.792,7.116,
0.796,7.090,
0.798,7.076,
0.802,7.042,
0.808,7.027,
0.811,7.011,
0.816,6.990,
0.820,6.972,
0.822,6.957,
0.826,6.939,
0.829,6.870,
0.835,6.848,
0.837,6.832,
0.841,6.817,
0.844,6.797,
0.852,6.777,
0.856,6.760,
0.858,6.746,
0.864,6.733,
0.865,6.713,
0.868,6.677,
0.874,6.650,
0.878,6.636,
0.883,6.592,
0.890,6.559,
0.896,6.532,
0.899,6.484,
0.901,6.466,
0.913,6.445,
0.914,6.416,
0.920,6.402,
0.923,6.368,
0.931,6.385,
0.937,6.354,
0.944,6.297,
0.950,6.283,
0.956,6.261,
0.959,6.243,
0.970,6.216,
0.973,6.200,
0.979,6.182,
0.983,6.164,
0.986,6.151,
0.989,6.135,
0.991,6.122,
0.997,6.045,
1.000,6.066,
1.009,6.042,
1.010,6.025,
1.013,5.979,
1.015,5.942,
1.016,5.920,
1.019,5.879,
1.021,5.841,
1.024,5.866,
1.030,5.772,
1.034,5.792,
1.036,5.749,
1.037,5.770,
1.040,5.796,
1.048,5.762,
1.049,5.716,
1.052,5.735,
1.061,5.718,
1.063,5.703,
1.067,5.667,
1.069,5.626,
1.072,5.648,
1.073,5.576,
1.075,5.592,
1.076,5.608,
1.078,5.565,
1.084,5.580,
1.090,5.544,
1.093,5.509,
1.094,5.468,
1.097,5.492,
1.099,5.462,
1.103,5.445,
1.106,5.390,
1.108,5.351,
1.111,5.365,
1.112,5.378,
1.114,5.345,
1.118,5.329,
1.120,5.306,
1.123,5.278,
1.124,5.251,
1.126,5.268,
1.127,5.286,
1.129,5.272,
1.133,5.237,
1.135,5.215,
1.137,5.200,
1.139,5.172,
1.145,5.082,
1.148,5.022,
1.149,4.991,
1.152,5.007,
1.154,4.989,
1.156,5.008,
1.160,4.961,
1.161,4.906,
1.166,4.847,
1.167,4.803,
1.172,4.764,
1.173,4.721,
1.175,4.702,
1.178,4.663,
1.181,4.647,
1.184,4.567,
1.185,4.533,
1.187,4.475,
1.191,4.459,
1.193,4.443,
1.195,4.384,
1.198,4.399,
1.199,4.383,
1.200,4.341,
1.203,4.323,
1.204,4.272,
1.205,4.258,
1.209,4.238,
1.210,4.198,
1.215,4.182,
1.217,4.128,
1.218,4.098,
1.219,4.129,
1.221,4.110,
1.225,4.094,
1.227,4.070,
1.231,4.035,
1.234,4.012,
1.235,4.000,
1.236,3.988,
