Volume (ml),pH,sampvol
0.000,10.538,59.645
0.018,10.523,
0.031,10.509,
0.051,10.495,
0.064,10.482,
0.076,10.466,
0.091,10.452,
0.106,10.437,
0.113,10.422,
0.132,10.397,
0.151,10.383,
0.154,10.347,
0.156,10.365,
0.178,10.351,
0.191,10.335,
0.205,10.321,
0.215,10.301,
0.229,10.283,
0.245,10.269,
0.253,10.252,
0.270,10.238,
0.282,10.224,
0.293,10.210,
0.300,10.197,
0.313,10.181,
0.327,10.165,
0.334,10.150,
0.349,10.136,
0.353,10.119,
0.373,10.105,
0.383,10.091,
0.391,10.077,
0.407,10.062,
0.419,10.047,
0.430,10.032,
0.439,10.015,
0.450,10.000,
0.464,9.987,
0.475,9.972,
0.483,9.958,
0.493,9.944,
0.503,9.929,
0.513,9.915,
0.517,9.898,
0.535,9.883,
0.545,9.868,
0.553,9.854,
0.565,9.838,
0.574,9.822,
0.583,9.806,
0.590,9.792,
0.605,9.775,
0.614,9.760,
0.621,9.738,
0.638,9.723,
0.644,9.708,
0.653,9.693,
0.662,9.677,
0.674,9.661,
0.681,9.647,
0.688,9.631,
0.694,9.615,
0.702,9.599,
0.709,9.577,
0.716,9.561,
0.730,9.505,
0.734,9.519,
0.750,9.504,
0.757,9.489,
0.763,9.475,
0.770,9.457,
0.778,9.438,
0.787,9.422,
0.792,9.403,
0.801,9.385,
0.807,9.365,
0.812,9.321,
0.815,9.337,
0.825,9.323,
0.830,9.309,
0.836,9.295,
0.841,9.280,
0.846,9.266,
0.851,9.249,
0.855,9.232,
0.861,9.217,
0.866,9.203,
0.870,9.188,
0.873,9.174,
0.878,9.159,
0.881,9.145,
0.885,9.130,
0.887,9.110,
0.893,9.095,
0.898,9.079,
0.902,9.064,
0.906,9.048,
0.910,9.031,
0.915,9.016,
0.918,8.996,
0.921,8.981,
0.926,8.964,
0.929,8.950,
0.932,8.930,
0.935,8.915,
0.938,8.901,
0.940,8.886,
0.943,8.871,
0.946,8.855,
0.948,8.826,
0.954,8.810,
0.957,8.774,
0.962,8.758,
0.965,8.743,
0.968,8.727,
0.970,8.708,
0.973,8.689,
0.975,8.675,
0.978,8.661,
0.981,8.640,
0.983,8.621,
0.985,8.602,
0.986,8.585,
0.988,8.570,
0.991,8.554,
0.993,8.539,
0.995,8.524,
0.997,8.498,
0.999,8.477,
1.000,8.404,
1.000,8.096,
1.004,8.077,
1.006,8.055,
1.008,8.039,
1.010,8.023,
1.012,8.005,
1.014,7.974,
1.017,7.960,
1.019,7.941,
1.020,7.918,
1.023,7.904,
1.026,7.887,
1.028,7.858,
1.030,7.843,
1.033,7.824,
1.034,7.809,
1.036,7.782,
1.039,7.767,
1.042,7.745,
1.044,7.726,
1.047,7.708,
1.050,7.689,
1.053,7.672,
1.055,7.650,
1.058,7.633,
1.061,7.617,
1.064,7.601,
1.067,7.588,
1.068,7.570,
1.071,7.541,
1.076,7.528,
1.077,7.514,
1.080,7.500,
1.082,7.485,
1.086,7.471,
1.089,7.453,
1.091,7.438,
1.094,7.422,
1.097,7.407,
1.100,7.388,
1.103,7.373,
1.107,7.359,
1.112,7.330,
1.115,7.316,
1.116,7.296,
1.121,7.282,
1.126,7.260,
1.129,7.246,
1.130,7.230,
1.136,7.216,
1.143,7.202,
1.150,7.181,
1.151,7.156,
1.157,7.141,
1.160,7.108,
1.168,7.088,
1.170,7.053,
1.178,7.025,
1.196,7.009,
1.206,6.992,
1.211,6.964,
1.218,6.935,
1.227,6.920,
1.235,6.906,
1.238,6.892,
1.239,6.875,
1.245,6.858,
1.251,6.842,
1.257,6.823,
1.263,6.797,
1.279,6.776,
1.281,6.755,
1.285,6.737,
1.291,6.720,
1.300,6.699,
1.310,6.685,
1.314,6.669,
1.331,6.647,
1.332,6.632,
1.336,6.617,
1.349,6.600,
1.350,6.584,
1.357,6.569,
1.372,6.550,
1.390,6.535,
1.396,6.511,
1.398,6.496,
1.415,6.478,
1.420,6.462,
1.426,6.444,
1.431,6.429,
1.439,6.387,
1.440,6.346,
1.442,6.366,
1.447,6.347,
1.464,6.362,
1.469,6.347,
1.472,6.322,
1.477,6.336,
1.479,6.298,
1.485,6.315,
1.495,6.297,
1.509,6.278,
1.515,6.262,
1.516,6.208,
1.518,6.139,
1.519,6.169,
1.520,6.189,
1.525,6.205,
1.528,6.219,
1.531,6.194,
1.534,6.209,
1.560,6.192,
1.564,6.165,
1.572,6.147,
1.578,6.115,
1.579,6.133,
1.581,6.150,
1.584,6.109,
1.587,6.131,
1.595,6.104,
1.599,6.028,
1.600,6.044,
1.601,6.058,
1.604,6.078,
1.607,6.095,
1.628,6.055,
1.634,6.072,
1.639,6.032,
