Volume (ml),pH,sampvol
1.158,4.592,
1.161,4.612,
1.163,4.633,
1.164,4.617,
1.166,4.558,
1.167,4.572,
1.169,4.596,
1.170,4.506,
1.173,4.482,
1.175,4.439,
1.177,4.397,
1.179,4.371,
1.180,4.394,
1.181,4.434,
1.182,4.473,
1.184,4.412,
1.185,4.362,
1.187,4.387,
1.188,4.409,
1.189,4.443,
1.192,4.394,
1.193,4.360,
1.194,4.282,
1.195,4.303,
1.196,4.267,
1.197,4.318,
1.199,4.331,
1.200,4.347,
1.201,4.287,
1.203,4.258,
1.205,4.179,
1.206,4.143,
1.208,4.123,
1.209,4.147,
1.211,4.132,
1.212,4.106,
1.213,4.125,
1.215,4.106,
1.217,4.072,
1.220,4.087,
1.221,4.062,
1.222,3.991,
1.223,4.030,
1.224,4.060,
1.226,4.000,
1.226,3.961,
