"pH","sampconc"
5.883,2.69952218233391
6.496,2.67884811914756
6.12,2.67884811914756
6.009,2.90626281419737
5.76,3.00963313012911
6.349,2.45143342409775
8.035,0.177286473599623
6.533,2.59615186640218
9.225,0.301330852717703
7.24,0.487397421394822
7.18,3.59241130874427
6.463,2.6504343393959
5.982,2.90020096005645
6.084,2.77531764972618
6.232,2.69860361623758
6.569,1.86188543702472
7.282,3.55137822106433
6.619,1.58000596513639
7.527,0.50244140171514
7.787,0.561314962299413
5.617,2.71321282153224
5.214,2.95837811884275
5.841,2.39594008383628
6.016,2.43920454806755
6.289,2.12193181037159
6.905,2.03540288190906
7.016,1.83350204882982
7.655,1.25664252574626
8.265,0.780733419202324
5.925,2.68436984537806
