pH,sampconc
3.6,2.7906776932390054
5.0,2.368587966727808
5.5,2.191582597545693
6.0,2.2596615856926605
6.5,1.6333348947405606
7.0,1.7286454781463148
7.5,1.4835611208172326
8.0,1.2657083587469369
8.5,2.8179092884977925
9.0,0.8708502274945263
5.04,2.64098271338598
5.382,2.473812470859057
5.78,2.5573975921225185
6.037,2.1116102787173916
5.942,2.334503935419955
6.106,2.2091262535247633
6.406,1.7912006472074569
6.721,1.4707910156975217
6.592,1.4150676015218808
6.769,1.3732750408901502
5.295,3.034013021194412
5.275,2.5676097627456267
5.694,2.1616141552405095
6.21,1.7570233768271053
6.676,1.3299553329462896
7.42,0.6795194634830737
7.715,0.9661045981925686
7.56,0.7862864744532776
7.884,0.6106828379891265
8.206,0.5952297179802811
