Volume (ml),pH,sampvol
0.0,6.942,45.567
0.015,6.886,
0.03,6.857,
0.045,6.729,
0.06,6.652,
0.075,6.586,
0.09,6.543,
0.105,6.471,
0.12,6.328,
0.135,6.210,
0.15,6.099,
0.16499999999999998,5.954,
0.18,5.831,
0.195,5.642,
0.21,5.351,
0.22499999999999998,4.986,
0.24,4.936,
0.255,4.919,
0.27,4.555,
0.285,4.306,
0.3,4.145,
0.315,4.025,
0.32999999999999996,3.948,
0.345,3.863,
0.36,3.831,
0.375,3.771,
0.39,3.715,
0.40499999999999997,3.667,
0.42,3.622,
0.435,3.582,
0.44999999999999996,3.545,
0.46499999999999997,3.511,
0.48,3.485,
0.495,3.456,
