Volume (ml),pH,sampvol
0.0,6.778,44.42
0.015,6.746,
0.03,6.703,
0.045,6.670,
0.06,6.641,
0.075,6.610,
0.09,6.581,
0.105,6.548,
0.12,6.517,
0.135,6.496,
0.15,6.461,
0.16499999999999998,6.436,
0.18,6.409,
0.195,6.373,
0.21,6.356,
0.22499999999999998,6.320,
0.24,6.287,
0.255,6.251,
0.27,6.216,
0.285,6.179,
0.3,6.143,
0.315,6.100,
0.32999999999999996,6.058,
0.345,6.015,
0.36,5.968,
0.375,5.915,
0.39,5.865,
0.40499999999999997,5.810,
0.42,5.743,
0.435,5.676,
0.44999999999999996,5.604,
0.46499999999999997,5.514,
0.48,5.428,
0.495,5.313,
0.51,5.207,
0.525,5.101,
0.54,4.979,
0.5549999999999999,4.839,
0.57,4.710,
0.585,4.567,
0.6,4.432,
0.615,4.302,
0.63,4.195,
0.645,4.095,
0.6599999999999999,4.011,
0.6749999999999999,3.938,
0.69,3.875,
0.705,3.808,
0.72,3.760,
0.735,3.707,
0.75,3.660,
0.765,3.616,
0.78,3.581,
0.7949999999999999,3.550,
0.8099999999999999,3.513,
0.825,3.490,
0.84,3.458,
0.855,3.439,
0.87,3.417,
0.885,3.392,
0.8999999999999999,3.369,
