Volume (ml),pH,sampvol
0.0,6.687,47.96
0.015,6.680,
0.03,6.653,
0.045,6.625,
0.06,6.594,
0.075,6.574,
0.09,6.544,
0.105,6.532,
0.12,6.506,
0.135,6.480,
0.15,6.455,
0.16499999999999998,6.426,
0.18,6.395,
0.195,6.366,
0.21,6.337,
0.22499999999999998,6.300,
0.24,6.274,
0.255,6.240,
0.27,6.210,
0.285,6.173,
0.3,6.137,
0.315,6.105,
0.32999999999999996,6.071,
0.345,6.027,
0.36,5.985,
0.375,5.943,
0.39,5.896,
0.40499999999999997,5.849,
0.42,5.792,
0.435,5.744,
0.44999999999999996,5.676,
0.46499999999999997,5.621,
0.48,5.569,
0.495,5.508,
0.51,5.424,
0.525,5.324,
0.54,5.213,
0.5549999999999999,5.088,
0.57,4.961,
0.585,4.821,
0.6,4.683,
0.615,4.548,
0.63,4.429,
0.645,4.316,
0.6599999999999999,4.219,
0.6749999999999999,4.126,
0.69,4.049,
0.705,3.976,
0.72,3.906,
0.735,3.851,
0.75,3.801,
0.765,3.756,
0.78,3.709,
0.7949999999999999,3.668,
0.8099999999999999,3.636,
0.825,3.606,
0.84,3.588,
0.855,3.548,
0.87,3.525,
0.885,3.497,
0.8999999999999999,3.472,
