Volume (ml),pH,sampvol
0.0,6.933,50.165
0.02,6.926,
0.04,6.868,
0.06,6.838,
0.08,6.798,
0.1,6.750,
0.12,6.698,
0.14,6.625,
0.16,6.542,
0.18,6.502,
0.2,6.429,
0.22,6.374,
0.24,6.326,
0.26,6.274,
0.28,6.210,
0.3,6.134,
0.32,6.040,
0.34,5.949,
0.36,5.884,
0.38,5.793,
0.4,5.631,
0.42,5.574,
0.44,5.424,
0.46,5.290,
0.48,5.151,
0.5,4.975,
0.52,4.807,
0.54,4.618,
0.56,4.444,
0.58,4.301,
0.6,4.186,
0.62,4.091,
0.64,4.007,
0.66,3.926,
0.68,3.862,
0.7000000000000001,3.804,
0.72,3.746,
0.74,3.693,
0.76,3.654,
0.78,3.611,
