Volume (ml),pH,sampvol
0.0,9.056,52.933
0.015,9.442,
0.03,9.421,
0.045,9.397,
0.06,9.353,
0.075,9.325,
0.09,9.285,
0.105,9.237,
0.12,9.183,
0.135,9.124,
0.15,9.060,
0.16499999999999998,9.006,
0.18,8.917,
0.195,8.825,
0.21,8.724,
0.22499999999999998,8.608,
0.24,8.462,
0.255,8.293,
0.27,8.097,
0.285,7.915,
0.3,7.789,
0.315,7.683,
0.32999999999999996,7.585,
0.345,7.496,
0.36,7.420,
0.375,7.348,
0.39,7.284,
0.40499999999999997,7.217,
0.42,7.157,
0.435,7.101,
0.44999999999999996,7.026,
0.46499999999999997,6.985,
0.48,6.942,
0.495,6.901,
0.51,6.849,
0.525,6.815,
0.54,6.788,
0.5549999999999999,6.747,
0.57,6.710,
0.585,6.682,
0.6,6.623,
0.615,6.585,
0.63,6.567,
0.645,6.533,
0.6599999999999999,6.489,
0.6749999999999999,6.440,
0.69,6.423,
0.705,6.395,
0.72,6.366,
0.735,6.314,
0.75,6.309,
0.765,6.279,
0.78,6.245,
0.7949999999999999,6.215,
0.8099999999999999,6.181,
0.825,6.137,
0.84,6.091,
0.855,6.065,
0.87,6.028,
0.885,5.988,
0.8999999999999999,5.897,
0.9149999999999999,5.837,
0.9299999999999999,5.785,
0.945,5.723,
0.96,5.708,
0.975,5.553,
0.99,5.429,
1.005,5.449,
1.02,5.406,
1.035,5.299,
1.05,5.134,
1.065,4.924,
1.08,4.665,
1.095,4.418,
1.1099999999999999,4.230,
1.125,4.084,
1.14,3.980,
1.155,3.890,
1.17,3.817,
1.185,3.756,
1.2,3.702,
1.2149999999999999,3.664,
1.23,3.614,
1.2449999999999999,3.592,
1.26,3.566,
1.275,3.531,
1.29,3.498,
