Volume (ml),pH,sampvol
0.0,6.836,44.395
0.015,6.683,
0.03,6.653,
0.045,6.624,
0.06,6.599,
0.075,6.572,
0.09,6.539,
0.105,6.504,
0.12,6.474,
0.135,6.441,
0.15,6.415,
0.16499999999999998,6.388,
0.18,6.345,
0.195,6.322,
0.21,6.301,
0.22499999999999998,6.274,
0.24,6.247,
0.255,6.220,
0.27,6.188,
0.285,6.144,
0.3,6.109,
0.315,6.067,
0.32999999999999996,6.024,
0.345,5.984,
0.36,5.934,
0.375,5.885,
0.39,5.827,
0.40499999999999997,5.766,
0.42,5.698,
0.435,5.627,
0.44999999999999996,5.547,
0.46499999999999997,5.451,
0.48,5.344,
0.495,5.232,
0.51,5.101,
0.525,4.961,
0.54,4.801,
0.5549999999999999,4.699,
0.57,4.559,
0.585,4.443,
0.6,4.358,
0.615,4.252,
0.63,4.148,
0.645,4.065,
0.6599999999999999,3.988,
0.6749999999999999,3.923,
0.69,3.851,
0.705,3.779,
0.72,3.737,
0.735,3.692,
0.75,3.646,
0.765,3.612,
0.78,3.572,
0.7949999999999999,3.538,
0.8099999999999999,3.507,
0.825,3.480,
0.84,3.446,
0.855,3.422,
0.87,3.399,
0.885,3.372,
0.8999999999999999,3.352,
