Volume (ml),pH,sampvol
0.0,6.434,50.773
0.02,6.428,
0.04,6.425,
0.06,6.367,
0.08,6.356,
0.1,6.344,
0.12,6.321,
0.14,6.278,
0.16,6.220,
0.18,6.183,
0.2,6.145,
0.22,6.096,
0.24,6.066,
0.26,6.014,
0.28,5.939,
0.3,5.879,
0.32,5.825,
0.34,5.779,
0.36,5.723,
0.38,5.662,
0.4,5.542,
0.42,5.501,
0.44,5.414,
0.46,5.300,
0.48,5.184,
0.5,5.053,
0.52,4.909,
0.54,4.736,
0.56,4.568,
0.58,4.401,
0.6,4.253,
0.62,4.129,
0.64,4.035,
0.66,3.943,
0.68,3.856,
0.7000000000000001,3.793,
0.72,3.719,
0.74,3.676,
0.76,3.622,
