Volume (ml),pH,sampvol
0.0,7.398,45.74
0.015,7.394,
0.03,7.354,
0.045,7.315,
0.06,7.273,
0.075,7.231,
0.09,7.185,
0.105,7.146,
0.12,7.107,
0.135,7.071,
0.15,7.039,
0.16499999999999998,7.004,
0.18,6.973,
0.195,6.943,
0.21,6.914,
0.22499999999999998,6.889,
0.24,6.861,
0.255,6.830,
0.27,6.802,
0.285,6.781,
0.3,6.758,
0.315,6.734,
0.32999999999999996,6.713,
0.345,6.688,
0.36,6.665,
0.375,6.644,
0.39,6.624,
0.40499999999999997,6.602,
0.42,6.579,
0.435,6.560,
0.44999999999999996,6.539,
0.46499999999999997,6.518,
0.48,6.498,
0.495,6.476,
0.51,6.457,
0.525,6.435,
0.54,6.414,
0.5549999999999999,6.399,
0.57,6.385,
0.585,6.370,
0.6,6.347,
0.615,6.326,
0.63,6.309,
0.645,6.289,
0.6599999999999999,6.264,
0.6749999999999999,6.244,
0.69,6.219,
0.705,6.196,
0.72,6.173,
0.735,6.145,
0.75,6.121,
0.765,6.095,
0.78,6.086,
0.7949999999999999,6.079,
0.8099999999999999,6.049,
0.825,6.030,
0.84,6.001,
0.855,5.964,
0.87,5.942,
0.885,5.902,
0.8999999999999999,5.872,
0.9149999999999999,5.830,
0.9299999999999999,5.787,
0.945,5.737,
0.96,5.688,
0.975,5.631,
0.99,5.563,
1.005,5.492,
1.02,5.415,
1.035,5.297,
1.05,5.197,
1.065,5.059,
1.08,4.854,
1.095,4.732,
1.1099999999999999,4.579,
1.125,4.438,
1.14,4.283,
1.155,4.150,
1.17,4.041,
1.185,3.954,
1.2,3.879,
1.2149999999999999,3.816,
1.23,3.757,
1.2449999999999999,3.707,
1.26,3.661,
1.275,3.619,
