Volume (ml),pH,sampvol
0.0,7.156,52.081
0.015,7.228,
0.03,7.227,
0.045,7.209,
0.06,7.167,
0.075,7.123,
0.09,7.082,
0.105,7.044,
0.12,7.002,
0.135,6.960,
0.15,6.912,
0.16499999999999998,6.869,
0.18,6.813,
0.195,6.781,
0.21,6.745,
0.22499999999999998,6.709,
0.24,6.672,
0.255,6.637,
0.27,6.540,
0.285,6.541,
0.3,6.526,
0.315,6.493,
0.32999999999999996,6.455,
0.345,6.417,
0.36,6.387,
0.375,6.351,
0.39,6.322,
0.40499999999999997,6.246,
0.42,6.242,
0.435,6.206,
0.44999999999999996,6.174,
0.46499999999999997,6.130,
0.48,6.084,
0.495,6.050,
0.51,5.953,
0.525,5.916,
0.54,5.907,
0.5549999999999999,5.868,
0.57,5.822,
0.585,5.764,
0.6,5.685,
0.615,5.618,
0.63,5.524,
0.645,5.421,
0.6599999999999999,5.278,
0.6749999999999999,5.128,
0.69,4.917,
0.705,4.679,
0.72,4.461,
0.735,4.286,
0.75,4.159,
0.765,4.053,
0.78,3.985,
0.7949999999999999,3.932,
0.8099999999999999,3.872,
0.825,3.819,
0.84,3.764,
0.855,3.717,
0.87,3.673,
0.885,3.631,
0.8999999999999999,3.596,
