Volume (ml),pH,sampvol
0.0,10.146,52.00
0.02,10.172,
0.04,10.168,
0.06,10.138,
0.08,10.094,
0.1,10.040,
0.12,9.980,
0.14,9.910,
0.16,9.834,
0.18,9.755,
0.2,9.666,
0.22,9.569,
0.24,9.456,
0.26,9.309,
0.28,9.111,
0.3,8.916,
0.32,8.611,
0.34,8.136,
0.36,7.744,
0.38,7.482,
0.4,7.296,
0.42,7.124,
0.44,7.000,
0.46,6.895,
0.48,6.797,
0.5,6.702,
0.52,6.632,
0.54,6.538,
0.56,6.486,
0.58,6.414,
0.6,6.358,
0.62,6.280,
0.64,6.215,
0.66,6.147,
0.68,6.060,
0.7000000000000001,5.970,
0.72,5.945,
0.74,5.799,
0.76,5.741,
0.78,5.684,
0.8,5.563,
0.8200000000000001,5.419,
0.84,5.242,
0.86,4.995,
0.88,4.727,
0.9,4.397,
0.92,4.173,
0.9400000000000001,4.021,
0.96,3.923,
0.98,3.837,
1.0,3.767,
1.02,3.704,
1.04,3.666,
1.06,3.613,
