Volume (ml),pH,sampvol
0.0,10.220,50.47
0.02,10.349,
0.04,10.328,
0.06,10.301,
0.08,10.275,
0.1,10.246,
0.12,10.217,
0.14,10.186,
0.16,10.153,
0.18,10.115,
0.2,10.079,
0.22,10.042,
0.24,10.002,
0.26,9.958,
0.28,9.911,
0.3,9.867,
0.32,9.818,
0.34,9.768,
0.36,9.714,
0.38,9.653,
0.4,9.586,
0.42,9.514,
0.44,9.428,
0.46,9.327,
0.48,9.216,
0.5,9.069,
0.52,8.882,
0.54,8.622,
0.56,8.236,
0.58,7.806,
0.6,7.577,
0.62,7.415,
0.64,7.308,
0.66,7.212,
0.68,7.128,
0.7000000000000001,7.051,
0.72,6.969,
0.74,6.887,
0.76,6.810,
0.78,6.727,
0.8,6.671,
0.8200000000000001,6.651,
0.84,6.585,
0.86,6.574,
0.88,6.531,
0.9,6.473,
0.92,6.429,
0.9400000000000001,6.375,
0.96,6.335,
0.98,6.281,
1.0,6.242,
1.02,6.207,
1.04,6.165,
1.06,6.100,
1.08,6.051,
1.1,5.981,
1.12,5.935,
1.1400000000000001,5.859,
1.16,5.813,
1.18,5.738,
1.2,5.674,
1.22,5.584,
1.24,5.472,
1.26,5.391,
1.28,5.259,
1.3,5.022,
1.32,4.772,
1.34,4.492,
1.36,4.230,
1.3800000000000001,4.041,
1.4000000000000001,3.904,
1.42,3.804,
1.44,3.718,
1.46,3.645,
