Volume (ml),pH,sampvol
0.02,8.742,62.372
0.04,8.478,
0.06,8.307,
0.08,8.141,
0.1,8.011,
0.12,7.907,
0.14,7.834,
0.16,7.731,
0.18,7.656,
0.2,7.56,
0.22,7.472,
0.24,7.397,
0.26,7.291,
0.28,7.247,
0.3,7.154,
0.32,7.066,
0.34,6.982,
0.36,6.863,
0.38,6.765,
0.4,6.721,
0.42,6.611,
0.44,6.534,
0.46,6.393,
0.48,6.29,
0.5,6.164,
0.52,6.086,
0.54,5.935,
0.56,5.854,
0.58,5.71,
0.6,5.496,
0.62,5.331,
0.64,4.979,
0.66,4.756,
0.68,4.473,
0.7000000000000001,4.282,
0.72,4.132,
0.74,4.019,
0.76,3.919,
0.78,3.855,
0.8,3.782,
0.8200000000000001,3.721,
0.84,3.675,
0.86,3.63,
0.88,3.594,
0.9,3.587,
0.92,3.545,
0.9400000000000001,3.512,
0.96,3.477,
0.98,3.447,
1.0,3.425,
1.02,3.393,
1.04,3.373,
1.06,3.342,
1.08,3.328,
1.1,3.311,
