Volume (ml),pH,sampvol
0.0,10.371,50.47
0.02,10.337,
0.04,10.293,
0.06,10.242,
0.08,10.189,
0.1,10.132,
0.12,10.076,
0.14,10.017,
0.16,9.951,
0.18,9.889,
0.2,9.823,
0.22,9.752,
0.24,9.680,
0.26,9.597,
0.28,9.504,
0.3,9.399,
0.32,9.274,
0.34,9.127,
0.36,8.947,
0.38,8.701,
0.4,8.340,
0.42,7.886,
0.44,7.583,
0.46,7.382,
0.48,7.226,
0.5,7.096,
0.52,6.989,
0.54,6.895,
0.56,6.816,
0.58,6.744,
0.6,6.675,
0.62,6.603,
0.64,6.544,
0.66,6.488,
0.68,6.427,
0.7000000000000001,6.375,
0.72,6.311,
0.74,6.264,
0.76,6.217,
0.78,6.153,
0.8,6.099,
0.8200000000000001,6.047,
0.84,5.988,
0.86,5.926,
0.88,5.848,
0.9,5.787,
0.92,5.715,
0.9400000000000001,5.610,
0.96,5.537,
0.98,5.427,
1.0,5.310,
1.02,5.140,
1.04,4.931,
1.06,4.647,
1.08,4.349,
1.1,4.155,
1.12,3.986,
1.1400000000000001,3.894,
1.16,3.808,
1.18,3.738,
1.2,3.688,
1.22,3.648,
1.24,3.609,
