Volume (ml),pH,sampvol
0.0,10.446,50.47
0.02,10.438,
0.04,10.389,
0.06,10.336,
0.08,10.281,
0.1,10.224,
0.12,10.168,
0.14,10.115,
0.16,10.060,
0.18,10.003,
0.2,9.943,
0.22,9.887,
0.24,9.826,
0.26,9.761,
0.28,9.687,
0.3,9.614,
0.32,9.538,
0.34,9.450,
0.36,9.349,
0.38,9.237,
0.4,9.093,
0.42,8.919,
0.44,8.680,
0.46,8.346,
0.48,7.904,
0.5,7.575,
0.52,7.357,
0.54,7.192,
0.56,7.061,
0.58,6.951,
0.6,6.849,
0.62,6.759,
0.64,6.680,
0.66,6.614,
0.68,6.548,
0.7000000000000001,6.471,
0.72,6.422,
0.74,6.367,
0.76,6.304,
0.78,6.254,
0.8,6.207,
0.8200000000000001,6.158,
0.84,6.079,
0.86,6.040,
0.88,5.984,
0.9,5.901,
0.92,5.840,
0.9400000000000001,5.797,
0.96,5.722,
0.98,5.616,
1.0,5.524,
1.02,5.432,
1.04,5.317,
1.06,5.205,
1.08,5.002,
1.1,4.754,
1.12,4.429,
1.1400000000000001,4.174,
1.16,4.006,
1.18,3.884,
1.2,3.798,
1.22,3.724,
1.24,3.673,
1.26,3.629,
