Volume (ml),pH,sampvol
0.0,9.816,47.7
0.015,9.677,
0.03,9.572,
0.045,9.466,
0.06,9.356,
0.075,9.216,
0.09,9.068,
0.105,8.823,
0.12,8.438,
0.135,8.003,
0.15,7.726,
0.16499999999999998,7.493,
0.18,7.317,
0.195,7.134,
0.21,6.942,
0.22499999999999998,6.741,
0.24,6.556,
0.255,6.372,
0.27,6.161,
0.285,5.993,
0.3,5.765,
0.315,5.531,
0.32999999999999996,5.259,
0.345,5.089,
0.36,4.900,
0.375,4.507,
0.39,4.229,
0.40499999999999997,4.051,
0.42,3.929,
0.435,3.840,
0.44999999999999996,3.764,
0.46499999999999997,3.704,
0.48,3.652,
0.495,3.604,
0.51,3.565,
0.525,3.527,
0.54,3.493,
0.5549999999999999,3.465,
0.57,3.443,
0.585,3.426,
0.6,3.403,
0.615,3.379,
0.63,3.354,
0.645,3.332,
0.6599999999999999,3.310,
0.6749999999999999,3.290,
0.69,3.272,
0.705,3.254,
0.72,3.240,
0.735,3.213,
