Volume (ml),pH,sampvol
0.0,9.835,44.812
0.015,9.629,
0.03,9.507,
0.045,9.416,
0.06,9.290,
0.075,9.129,
0.09,8.959,
0.105,8.646,
0.12,8.142,
0.135,7.729,
0.15,7.419,
0.16499999999999998,7.162,
0.18,6.962,
0.195,6.777,
0.21,6.645,
0.22499999999999998,6.539,
0.24,6.423,
0.255,6.156,
0.27,6.030,
0.285,5.813,
0.3,5.617,
0.315,5.476,
0.32999999999999996,5.187,
0.345,4.978,
0.36,4.744,
0.375,4.353,
0.39,4.125,
0.40499999999999997,3.976,
0.42,3.871,
0.435,3.788,
0.44999999999999996,3.722,
0.46499999999999997,3.660,
0.48,3.613,
0.495,3.569,
0.51,3.529,
0.525,3.495,
0.54,3.462,
0.5549999999999999,3.437,
0.57,3.419,
0.585,3.401,
0.6,3.378,
