Volume (ml),pH,sampvol
0.0,10.110,51.99
0.02,10.224,
0.04,10.213,
0.06,10.171,
0.08,10.118,
0.1,10.056,
0.12,9.993,
0.14,9.930,
0.16,9.865,
0.18,9.799,
0.2,9.731,
0.22,9.657,
0.24,9.578,
0.26,9.493,
0.28,9.396,
0.3,9.287,
0.32,9.166,
0.34,9.016,
0.36,8.824,
0.38,8.560,
0.4,8.138,
0.42,7.653,
0.44,7.389,
0.46,7.215,
0.48,7.079,
0.5,6.960,
0.52,6.869,
0.54,6.775,
0.56,6.677,
0.58,6.620,
0.6,6.561,
0.62,6.499,
0.64,6.410,
0.66,6.389,
0.68,6.335,
0.7000000000000001,6.277,
0.72,6.225,
0.74,6.183,
0.76,6.104,
0.78,6.072,
0.8,6.019,
0.8200000000000001,5.965,
0.84,5.912,
0.86,5.848,
0.88,5.796,
0.9,5.731,
0.92,5.669,
0.9400000000000001,5.574,
0.96,5.508,
0.98,5.399,
1.0,5.284,
1.02,5.131,
1.04,4.949,
1.06,4.718,
1.08,4.429,
1.1,4.156,
1.12,3.987,
1.1400000000000001,3.855,
1.16,3.772,
1.18,3.708,
1.2,3.661,
1.22,3.617,
