Volume (ml),pH,sampvol
0.0,9.795,50.353
0.015,9.965,
0.03,9.860,
0.045,9.760,
0.06,9.624,
0.075,9.475,
0.09,9.266,
0.105,8.958,
0.12,8.439,
0.135,7.898,
0.15,7.575,
0.16499999999999998,7.247,
0.18,7.097,
0.195,6.916,
0.21,6.768,
0.22499999999999998,6.559,
0.24,6.585,
0.255,6.441,
0.27,6.349,
0.285,6.298,
0.3,6.197,
0.315,6.074,
0.32999999999999996,5.929,
0.345,5.759,
0.36,5.514,
0.375,5.162,
0.39,4.777,
0.40499999999999997,4.506,
0.42,4.318,
0.435,4.185,
0.44999999999999996,4.085,
0.46499999999999997,4.006,
0.48,3.939,
0.495,3.871,
0.51,3.823,
0.525,3.768,
0.54,3.735,
0.5549999999999999,3.691,
0.57,3.661,
0.585,3.632,
0.6,3.602,
