Volume (ml),pH,sampvol
0.0,9.480,50.66
0.02,9.896,
0.04,9.954,
0.06,9.954,
0.08,9.925,
0.1,9.873,
0.12,9.813,
0.14,9.739,
0.16,9.651,
0.18,9.544,
0.2,9.418,
0.22,9.248,
0.24,9.038,
0.26,8.704,
0.28,8.250,
0.3,7.793,
0.32,7.488,
0.34,7.259,
0.36,7.040,
0.38,6.850,
0.4,6.704,
0.42,6.597,
0.44,6.476,
0.46,6.361,
0.48,6.236,
0.5,6.184,
0.52,6.020,
0.54,5.990,
0.56,5.854,
0.58,5.714,
0.6,5.552,
0.62,5.356,
0.64,5.053,
0.66,4.636,
0.68,4.280,
0.7000000000000001,4.054,
0.72,3.896,
0.74,3.780,
0.76,3.693,
0.78,3.622,
