Volume (ml),pH,sampvol
0.0,10.147,51.19
0.02,10.247,
0.04,10.239,
0.06,10.197,
0.08,10.140,
0.1,10.079,
0.12,10.002,
0.14,9.924,
0.16,9.828,
0.18,9.722,
0.2,9.597,
0.22,9.461,
0.24,9.273,
0.26,9.021,
0.28,8.650,
0.3,8.102,
0.32,7.746,
0.34,7.446,
0.36,7.169,
0.38,6.929,
0.4,6.833,
0.42,6.656,
0.44,6.570,
0.46,6.479,
0.48,6.412,
0.5,6.334,
0.52,6.219,
0.54,6.152,
0.56,6.040,
0.58,5.934,
0.6,5.826,
0.62,5.674,
0.64,5.516,
0.66,5.256,
0.68,4.972,
0.7000000000000001,4.657,
0.72,4.354,
0.74,4.171,
0.76,4.039,
0.78,3.937,
0.8,3.861,
0.8200000000000001,3.797,
0.84,3.753,
0.86,3.705,
0.88,3.675,
0.9,3.640,
0.92,3.612,
