Volume (ml),pH,sampvol
0.02,8.023,52.153999999999996
0.04,7.761,
0.06,7.56,
0.08,7.414,
0.1,7.3,
0.12,7.207,
0.14,7.125,
0.16,7.047,
0.18,6.979,
0.2,6.909,
0.22,6.85,
0.24,6.788,
0.26,6.735,
0.28,6.685,
0.3,6.634,
0.32,6.587,
0.34,6.538,
0.36,6.496,
0.38,6.458,
0.4,6.428,
0.42,6.384,
0.44,6.332,
0.46,6.285,
0.48,6.23,
0.5,6.177,
0.52,6.122,
0.54,6.063,
0.56,6.0,
0.58,5.927,
0.6,5.85,
0.62,5.791,
0.64,5.776,
0.66,5.68,
0.68,5.565,
0.7000000000000001,5.424,
0.72,5.233,
0.74,4.978,
0.76,4.671,
0.78,4.423,
0.8,4.244,
0.8200000000000001,4.116,
0.84,4.022,
0.86,3.961,
0.88,3.924,
0.9,3.855,
0.92,3.796,
0.9400000000000001,3.741,
0.96,3.694,
0.98,3.654,
1.0,3.615,
1.02,3.581,
1.04,3.549,
1.06,3.52,
1.08,3.494,
1.1,3.466,
1.12,3.455,
1.1400000000000001,3.434,
1.16,3.415,
1.18,3.392,
1.2,3.373,
1.22,3.353,
1.24,3.331,
1.26,3.315,
1.28,3.3,
