Volume (ml),pH,sampvol
0.0,9.798,50.47
0.02,10.131,
0.04,10.125,
0.06,10.100,
0.08,10.065,
0.1,10.030,
0.12,9.990,
0.14,9.946,
0.16,9.900,
0.18,9.848,
0.2,9.793,
0.22,9.735,
0.24,9.667,
0.26,9.589,
0.28,9.506,
0.3,9.408,
0.32,9.294,
0.34,9.152,
0.36,8.969,
0.38,8.711,
0.4,8.338,
0.42,7.867,
0.44,7.594,
0.46,7.415,
0.48,7.269,
0.5,7.155,
0.52,7.046,
0.54,6.931,
0.56,6.847,
0.58,6.782,
0.6,6.728,
0.62,6.647,
0.64,6.597,
0.66,6.544,
0.68,6.495,
0.7000000000000001,6.425,
0.72,6.368,
0.74,6.290,
0.76,6.245,
0.78,6.192,
0.8,6.154,
0.8200000000000001,6.109,
0.84,6.040,
0.86,5.974,
0.88,5.876,
0.9,5.835,
0.92,5.736,
0.9400000000000001,5.661,
0.96,5.548,
0.98,5.425,
1.0,5.271,
1.02,5.042,
1.04,4.781,
1.06,4.476,
1.08,4.206,
1.1,4.010,
1.12,3.890,
1.1400000000000001,3.786,
1.16,3.698,
1.18,3.629,
