Volume (ml),pH,sampvol
0.0,9.724,46.093
0.015,9.868,
0.03,9.758,
0.045,9.631,
0.06,9.479,
0.075,9.274,
0.09,8.972,
0.105,8.516,
0.12,7.971,
0.135,7.620,
0.15,7.263,
0.16499999999999998,7.067,
0.18,6.704,
0.195,6.694,
0.21,6.614,
0.22499999999999998,6.436,
0.24,6.390,
0.255,6.298,
0.27,6.232,
0.285,6.110,
0.3,5.977,
0.315,5.813,
0.32999999999999996,5.593,
0.345,5.282,
0.36,4.851,
0.375,4.496,
0.39,4.270,
0.40499999999999997,4.117,
0.42,4.008,
0.435,3.915,
0.44999999999999996,3.839,
0.46499999999999997,3.770,
0.48,3.716,
0.495,3.662,
0.51,3.623,
0.525,3.583,
0.54,3.545,
0.5549999999999999,3.517,
0.57,3.489,
0.585,3.470,
0.6,3.446,
