Volume (ml),pH,sampvol
0.02,7.88,63.649
0.04,7.568,
0.06,7.416,
0.08,7.241,
0.1,7.123,
0.12,7.084,
0.14,7.011,
0.16,6.937,
0.18,6.868,
0.2,6.802,
0.22,6.737,
0.24,6.664,
0.26,6.617,
0.28,6.565,
0.3,6.517,
0.32,6.437,
0.34,6.415,
0.36,6.372,
0.38,6.335,
0.4,6.285,
0.42,6.228,
0.44,6.17,
0.46,6.11,
0.48,6.042,
0.5,5.977,
0.52,5.898,
0.54,5.814,
0.56,5.726,
0.58,5.603,
0.6,5.462,
0.62,5.457,
0.64,5.277,
0.66,5.026,
0.68,4.739,
0.7000000000000001,4.495,
0.72,4.32,
0.74,4.192,
0.76,4.095,
0.78,4.013,
0.8,3.944,
0.8200000000000001,3.892,
0.84,3.848,
0.86,3.824,
0.88,3.779,
0.9,3.738,
0.92,3.7,
0.9400000000000001,3.664,
0.96,3.634,
0.98,3.603,
1.0,3.574,
1.02,3.551,
1.04,3.527,
1.06,3.502,
1.08,3.479,
1.1,3.466,
1.12,3.454,
1.1400000000000001,3.435,
1.16,3.417,
1.18,3.4,
1.2,3.383,
1.22,3.365,
1.24,3.348,
1.26,3.334,
1.28,3.318,
1.3,3.303,
