Volume (ml),pH,sampvol
0.02,8.698,50.272
0.04,8.4,
0.06,8.178,
0.08,8.013,
0.1,7.896,
0.12,7.788,
0.14,7.698,
0.16,7.621,
0.18,7.541,
0.2,7.467,
0.22,7.399,
0.24,7.33,
0.26,7.274,
0.28,7.215,
0.3,7.149,
0.32,7.096,
0.34,7.056,
0.36,7.005,
0.38,6.968,
0.4,6.922,
0.42,6.888,
0.44,6.85,
0.46,6.814,
0.48,6.775,
0.5,6.736,
0.52,6.702,
0.54,6.669,
0.56,6.632,
0.58,6.592,
0.6,6.534,
0.62,6.499,
0.64,6.453,
0.66,6.439,
0.68,6.402,
0.7000000000000001,6.358,
0.72,6.31,
0.74,6.274,
0.76,6.223,
0.78,6.176,
0.8,6.132,
0.8200000000000001,6.08,
0.84,6.028,
0.86,5.962,
0.88,5.91,
0.9,5.859,
0.92,5.786,
0.9400000000000001,5.719,
0.96,5.613,
0.98,5.482,
1.0,5.361,
1.02,5.181,
1.04,4.94,
1.06,4.615,
1.08,4.357,
1.1,4.191,
1.12,4.063,
1.1400000000000001,3.993,
1.16,3.891,
1.18,3.804,
1.2,3.729,
1.22,3.657,
1.24,3.61,
1.26,3.567,
1.28,3.517,
1.3,3.475,
1.32,3.438,
1.34,3.399,
1.36,3.378,
1.3800000000000001,3.361,
1.4000000000000001,3.348,
1.42,3.311,
