Volume (ml),pH,sampvol
0.0,10.086,50.53
0.02,10.233,
0.04,10.182,
0.06,10.145,
0.08,10.102,
0.1,10.062,
0.12,10.017,
0.14,9.970,
0.16,9.927,
0.18,9.873,
0.2,9.816,
0.22,9.728,
0.24,9.675,
0.26,9.604,
0.28,9.518,
0.3,9.421,
0.32,9.306,
0.34,9.162,
0.36,8.989,
0.38,8.740,
0.4,8.384,
0.42,7.934,
0.44,7.619,
0.46,7.404,
0.48,7.264,
0.5,7.146,
0.52,7.021,
0.54,6.904,
0.56,6.844,
0.58,6.767,
0.6,6.680,
0.62,6.545,
0.64,6.516,
0.66,6.491,
0.68,6.389,
0.7000000000000001,6.364,
0.72,6.287,
0.74,6.223,
0.76,6.194,
0.78,6.161,
0.8,6.066,
0.8200000000000001,6.035,
0.84,5.965,
0.86,5.836,
0.88,5.772,
0.9,5.682,
0.92,5.471,
0.9400000000000001,5.451,
0.96,5.322,
0.98,5.151,
1.0,4.927,
1.02,4.588,
1.04,4.279,
1.06,4.061,
1.08,3.909,
1.1,3.795,
1.12,3.720,
1.1400000000000001,3.635,
