Volume (ml),pH,sampvol
0.0,9.057,47.69
0.015,9.985,
0.03,9.892,
0.045,9.781,
0.06,9.662,
0.075,9.516,
0.09,9.333,
0.105,9.059,
0.12,8.546,
0.135,7.869,
0.15,7.541,
0.16499999999999998,7.195,
0.18,7.080,
0.195,6.860,
0.21,6.647,
0.22499999999999998,6.590,
0.24,6.505,
0.255,6.405,
0.27,6.285,
0.285,6.161,
0.3,6.024,
0.315,5.855,
0.32999999999999996,5.643,
0.345,5.341,
0.36,4.918,
0.375,4.544,
0.39,4.314,
0.40499999999999997,4.153,
0.42,4.032,
0.435,3.936,
0.44999999999999996,3.856,
0.46499999999999997,3.792,
0.48,3.730,
0.495,3.683,
0.51,3.633,
0.525,3.596,
0.54,3.561,
0.5549999999999999,3.539,
0.57,3.508,
0.585,3.485,
0.6,3.456,
0.615,3.431,
0.63,3.406,
0.645,3.382,
0.6599999999999999,3.359,
0.6749999999999999,3.336,
0.69,3.312,
0.705,3.291,
0.72,3.278,
0.735,3.261,
