Volume (ml),pH,sampvol
0.02,7.977,50.496
0.04,7.677,
0.06,7.487,
0.08,7.317,
0.1,7.223,
0.12,7.084,
0.14,7.055,
0.16,6.983,
0.18,6.947,
0.2,6.893,
0.22,6.833,
0.24,6.775,
0.26,6.713,
0.28,6.667,
0.3,6.619,
0.32,6.559,
0.34,6.498,
0.36,6.443,
0.38,6.364,
0.4,6.413,
0.42,6.369,
0.44,6.321,
0.46,6.271,
0.48,6.221,
0.5,6.167,
0.52,6.113,
0.54,6.047,
0.56,5.993,
0.58,5.922,
0.6,5.859,
0.62,5.565,
0.64,5.372,
0.66,5.66,
0.68,5.543,
0.7000000000000001,5.393,
0.72,5.194,
0.74,4.91,
0.76,4.603,
0.78,4.365,
0.8,4.198,
0.8200000000000001,4.074,
0.84,3.97,
0.86,3.903,
0.88,3.853,
0.9,3.823,
0.92,3.763,
0.9400000000000001,3.712,
0.96,3.666,
0.98,3.626,
1.0,3.588,
1.02,3.553,
1.04,3.524,
1.06,3.495,
1.08,3.469,
1.1,3.442,
1.12,3.416,
1.1400000000000001,3.414,
1.16,3.389,
1.18,3.37,
1.2,3.35,
1.22,3.332,
1.24,3.312,
