Volume (ml),pH,sampvol
0.0,9.950,48.424
0.015,10.034,
0.03,9.939,
0.045,9.837,
0.06,9.741,
0.075,9.584,
0.09,9.417,
0.105,9.179,
0.12,8.785,
0.135,8.130,
0.15,7.639,
0.16499999999999998,7.380,
0.18,7.149,
0.195,6.990,
0.21,6.855,
0.22499999999999998,6.713,
0.24,6.605,
0.255,6.487,
0.27,6.374,
0.285,6.261,
0.3,6.135,
0.315,5.994,
0.32999999999999996,5.823,
0.345,5.592,
0.36,5.272,
0.375,4.839,
0.39,4.496,
0.40499999999999997,4.280,
0.42,4.140,
0.435,4.023,
0.44999999999999996,3.932,
0.46499999999999997,3.859,
0.48,3.798,
0.495,3.756,
0.51,3.698,
0.525,3.666,
0.54,3.636,
0.5549999999999999,3.602,
0.57,3.566,
0.585,3.536,
0.6,3.500,
