Volume (ml),pH,sampvol
0.02,6.594,50.782
0.04,6.563,
0.06,6.536,
0.08,6.507,
0.1,6.476,
0.12,6.465,
0.14,6.443,
0.16,6.43,
0.18,6.402,
0.2,6.378,
0.22,6.349,
0.24,6.322,
0.26,6.294,
0.28,6.266,
0.3,6.237,
0.32,6.202,
0.34,6.167,
0.36,6.142,
0.38,6.127,
0.4,6.096,
0.42,6.063,
0.44,6.031,
0.46,6.018,
0.48,5.981,
0.5,5.944,
0.52,5.906,
0.54,5.865,
0.56,5.82,
0.58,5.777,
0.6,5.727,
0.62,5.669,
0.64,5.65,
0.66,5.605,
0.68,5.58,
0.7000000000000001,5.511,
0.72,5.439,
0.74,5.365,
0.76,5.278,
0.78,5.186,
0.8,5.081,
0.8200000000000001,4.967,
0.84,4.835,
0.86,4.778,
0.88,4.63,
0.9,4.51,
0.92,4.443,
0.9400000000000001,4.32,
0.96,4.201,
0.98,4.102,
1.0,4.01,
1.02,3.928,
1.04,3.856,
1.06,3.793,
1.08,3.733,
1.1,3.686,
1.12,3.648,
1.1400000000000001,3.603,
1.16,3.559,
1.18,3.532,
1.2,3.496,
1.22,3.458,
1.24,3.426,
1.26,3.395,
1.28,3.365,
