Volume (ml),pH,sampvol
0.02,6.603,53.963
0.04,6.572,
0.06,6.544,
0.08,6.525,
0.1,6.491,
0.12,6.489,
0.14,6.476,
0.16,6.448,
0.18,6.424,
0.2,6.401,
0.22,6.372,
0.24,6.347,
0.26,6.321,
0.28,6.296,
0.3,6.269,
0.32,6.241,
0.34,6.218,
0.36,6.199,
0.38,6.174,
0.4,6.162,
0.42,6.136,
0.44,6.108,
0.46,6.078,
0.48,6.046,
0.5,6.017,
0.52,5.985,
0.54,5.949,
0.56,5.912,
0.58,5.877,
0.6,5.838,
0.62,5.815,
0.64,5.776,
0.66,5.738,
0.68,5.706,
0.7000000000000001,5.657,
0.72,5.605,
0.74,5.546,
0.76,5.484,
0.78,5.418,
0.8,5.34,
0.8200000000000001,5.258,
0.84,5.176,
0.86,5.132,
0.88,5.047,
0.9,4.953,
0.92,4.833,
0.9400000000000001,4.708,
0.96,4.581,
0.98,4.457,
1.0,4.34,
1.02,4.232,
1.04,4.135,
1.06,4.056,
1.08,3.982,
1.1,3.934,
1.12,3.872,
1.1400000000000001,3.813,
1.16,3.772,
1.18,3.722,
1.2,3.671,
1.22,3.623,
1.24,3.583,
1.26,3.544,
1.28,3.507,
1.3,3.475,
1.32,3.438,
1.34,3.409,
1.36,3.392,
